Value,Average Volume
0,45.04399092970522
10,43.37792743764172
100,86.15404081632653
15,43.923587301587304
20,44.302630385487525
25,42.82611337868481
30,41.092784580498865
35,41.50977777777778
40,40.614068027210884
45,41.23587755102041
5,44.5535918367347
50,40.919120181405894
55,40.71539682539682
60,40.56385034013606
65,41.49597278911565
70,49.19484807256236
75,54.19465306122449
80,56.771578231292516
85,58.53449886621315
90,67.08143764172335
95,77.5737052154195
